# Lista de Achievements - Warface

**Total:** 3417 achievements
- **Insignias (Badge):** 757
- **Fitas (Stripe):** 1688
- **Marcas (Mark):** 972

---

## INSIGNIAS (Badge)

| ID | Nome (PT) | Amount | Arquivo |
|-----|-----------|--------|---------|
| 100 | Vinte-e-um | 5000 | shg02kill.xml |
| 101 | Javali Selvagem | 5000 | shg03kill.xml |
| 102 | Cano Quente | 5000 | shg04kill.xml |
| 103 | No Fim do Cano | 5000 | shg05kill.xml |
| 104 | Couro Quente | 5000 | shg06kill.xml |
| 105 | Arma de Tanque | 5000 | mg01kill.xml |
| 106 | Cumpra a Ordem | 5000 | mg04kill.xml |
| 107 | Exterminador | 5000 | mg05kill.xml |
| 108 | Metralhador | 5000 | mg06kill.xml |
| 109 | Bom de Mira | 100 | aiming1.xml |
| 110 | Mira da Morte | 1000 | aiming2.xml |
| 111 | Caçador de tesouros | 100 | crown1.xml |
| 112 | Glória coroada | 1000 | crown2.xml |
| 113 | Acumulador | 10000 | crown3.xml |
| 114 | Ganância Boa | 100000 | money1.xml |
| 115 | Sacos de Dinheiro | 500000 | money2.xml |
| 116 | Oficial Médico | 10000 | healer1.xml |
| 117 | Médico de Combate | 100000 | healer2.xml |
| 118 | Cirurgião de Guerra | 1000000 | healer3.xml |
| 119 | Na Mosca | 100 | luckyshot1.xml |
| 120 | Ataque Cirúrgico | 100 | shock2.xml |
| 121 | Doutor Morte | 500 | shock3.xml |
| 122 | Desfibrilador Mortal | 10 | shock1.xml |
| 123 | Purê de Miolo | 50 | brainsmasher1.xml |
| 124 | Trepanação Agressiva | 500 | brainsmasher2.xml |
| 125 | Esmagamento Craniano | 2500 | brainsmasher3.xml |
| 126 | Assassino em Série | 30 | coopstreak1.xml |
| 127 | Letal | 30 | coopstreak2.xml |
| 128 | Incontrolável | 30 | coopstreak3.xml |
| 129 | Explosivo | 10 | grenadier1.xml |
| 130 | Mestre Explosivo | 100 | grenadier2.xml |
| 131 | Bum Bum Bum | 1000 | grenadier3.xml |
| 132 | Experiência de Quase Morte | 10 | groundshooter1.xml |
| 133 | Caído, Mas Vivo | 50 | groundshooter2.xml |
| 134 | Perigoso Quando Cai | 500 | groundshooter3.xml |
| 135 | Águia do deserto | 500 | luckyshot2.xml |
| 136 | Pesadelo dos Franco-atiradores | 100 | sniperhunter1.xml |
| 137 | Comprador Feliz | 1 | sponsorunlock1.xml |
| 138 | Gastão | 3 | sponsorunlock3.xml |
| 139 | Chuva de Artilharia | 10 | heavygunnerkiller01.xml |
| 140 | Anti-Artilheiro | 10 | heavygunnerkiller02.xml |
| 141 | Mestre de Armas | 10 | heavygunnerkiller03.xml |
| 142 | Granada Múltipla | 1 | 3in1.xml |
| 143 | Herói do Submundo | 1000 | pt41_ww2kills.xml |
| 240 | Schutzenpanzer Puma | 5000 | mg02kill.xml |
| 241 | Guarda Costeira | 5000 | mg21kill.xml |
| 243 | Remington Clássica | 5000 | shg01kill.xml |
| 244 | Domínio da Remington 870 CB | 5000 | shg09kill.xml |
| 245 | Revólver | 5000 | shg10kill.xml |
| 246 | Domínio da Hawk Pump | 5000 | shg12kill.xml |
| 247 | Domínio da Kel-Tec | 5000 | shg13kill.xml |
| 265 | Domínio da Mina Direcional | 5000 | cm01kill.xml |
| 266 | Domínio da Mina Antipessoal | 5000 | cm02kill.xml |
| 268 | AUG Pesada | 5000 | mg08kill.xml |
| 269 | Kushnapup | 5000 | shg07kill.xml |
| 273 | Boneco de Neve Raivoso | 500 | kn02xmasskill.xml |
| 274 | Poder de Polícia | 5000 | shg22kill.xml |
| 286 | Saiga Bullpup Elite | 1000 | shg07_crownkill.xml |
| 291 | SPAS-12 Elite | 1000 | shg06_crownkill.xml |
| 292 | Kopaska | 5000 | mg03kill.xml |
| 294 | MG240B de Elite | 1000 | mg01_crownkill.xml |
| 296 | Varredor de Rua | 5000 | shg11kill.xml |
| 297 | Do Zero | 5000 | shg15kill.xml |
| 298 | Agressão Automática | 5000 | shg21kill.xml |
| 302 | Domínio da Mina Direcional (Avançado) | 10000 | cm01kill25.xml |
| 304 | Domínio da Mina Antipessoal (Avançado) | 10000 | cm02kill25.xml |
| 317 | Ladrão de corações | 1 | ru_love_badge_01.xml |
| 404 | Médico de Campo | 100 | ressurector1.xml |
| 405 | Reanimador | 1000 | ressurector2.xml |
| 406 | Salvador | 10000 | ressurector3.xml |
| 411 | Derya Arms | 5000 | shg30kill.xml |
| 418 | Mirou, Morreu | 10000 | aiming3.xml |
| 425 | Explosão Nuclear | 10000 | grenadier4.xml |
| 429 | Presente Massa | 10 | mine_doublekill1.xml |
| 430 | Generosidade ao Inimigo | 100 | mine_doublekill2.xml |
| 431 | Mestre da Emboscada | 1000 | mine_doublekill3.xml |
| 439 | Persuasivo | 5000 | shg08kill.xml |
| 452 | Nada de Acampar | 1000 | sniperhunter2.xml |
| 453 | Contágio | 100 | medichunter1.xml |
| 454 | Caçando a Cruz Vermelha | 1000 | medichunter2.xml |
| 455 | Curto-circuito | 100 | engineerhunter1.xml |
| 456 | Progresso Técnico | 1000 | engineerhunter2.xml |
| 457 | Desarmamento | 100 | riflemanhunter1.xml |
| 458 | Ameaça de Infantaria | 1000 | riflemanhunter2.xml |
| 462 | Escopeta Tática Urbana | 5000 | shg26kill.xml |
| 465 | A Chave do Comando | 5000 | shg28kill.xml |
| 468 | Rotor Assassino | 5000 | shg27kill.xml |
| 472 | Fabricada na Alemanha | 5000 | mg09kill.xml |
| 476 | Um Punhado de Balas | 5000 | mg07kill.xml |
| 478 | Guerreiro dos Porcos | 5000 | mg12kill.xml |
| 481 | É Perfeita, Modular, Mortal... | 5000 | shg32kill.xml |
| 483 | Dragão Guerreiro | 5000 | dragon02kill.xml |
| 486 | O Bom, o Mau e o Feio | 5000 | shg33kill.xml |
| 488 | Gostosuras ou Travessuras! | 500 | hlwkill_01.xml |
| 494 | Mossberg 500 Personalizada Elite Coroa | 1000 | shg08_crown02kill.xml |
| 504 | Rato de Escritório | 500 | survivalkills1.xml |
| 505 | Estou Falando Sério | 2500 | survivalkills2.xml |
| 506 | Lorde da Escuridão | 10000 | survivalkills3.xml |
| 507 | Caçador de Cabeças | 250 | survivalheadshots1.xml |
| 508 | Destruidor de Cérebros | 1000 | survivalheadshots2.xml |
| 509 | Mestre de Tiro na Cabeça | 2500 | survivalheadshots3.xml |
| 526 | Envie Mais Tropas! | 10 | survivalheavygunner02.xml |
| 603 | Elimine os Problemas | 11 | zombie_kills_at_once_1.xml |
